"No.","Date","Genre","Bibl","ContextBefore","Hit","ContextAfter"
"73","1999-06-24","Zeitung","Die Zeit, 24.06.1999, Nr. 26","Rabenschwarzer Sarkasmus - das war die Tonlage , in der Bierce wie kein Zweiter","zu","Hause war ."
"74","1999-06-17","Zeitung","Die Zeit, 17.06.1999, Nr. 25","Ich schlief an nur 90 Tagen im Jahr","zu","Hause ; 14 Jahre als Profi , 19 Jahre als Trainer , die letzten 8 als Bundestrainer ."
"75","1999-06-10","Zeitung","Die Zeit, 10.06.1999, Nr. 24","Jedenfalls gehört der Kohlrabischneider zu der Spezies , die","zu","Hause kochen , und diesen Leuten gehört meine Sympathie , auch wenn sie sich einen rosa Schäferhund als Bundespräsidenten wünschen ."
"76","1999-05-27","Zeitung","Die Zeit, 27.05.1999, Nr. 22","Morgens sind wir los , und abends waren wir wieder","zu","Hause . """
"77","1999-05-20","Zeitung","Die Zeit, 20.05.1999, Nr. 21","Und beklagte im gleichen Atemzug das beschränkte Niveau mancher deutscher Minister - auf die Gefahr hin , daß man ihm nun","zu","Hause sagt : "" Dann geh doch nach Kuba . """
"78","1999-05-06","Zeitung","Die Zeit, 06.05.1999, Nr. 19",""" Was machen Sie","zu","Hause "" , will ich wissen , "" welche Art von Medizin treiben Sie in Ihren Privatkliniken ?"
"79","1999-04-29","Zeitung","Die Zeit, 29.04.1999, Nr. 18","Es ist ja nichts schlimmer , als die Leute staatlich alimentiert","zu","Hause sitzen zu lassen , wenn anderswo in der Gesellschaft reichlich zu tun ist ."
"80","1999-04-29","Zeitung","Die Zeit, 29.04.1999, Nr. 18",""" Auf der einen Seite Tatendrang , Erfolgsgefühl , Selbstbewußtsein und Schaffensfreude und","zu","Hause Frust , Unsicherheit und lähmende Abkühlung der Gefühle - das kann nicht lange gutgehen . """
"81","1999-04-29","Zeitung","Die Zeit, 29.04.1999, Nr. 18","Dort wird bei Reinhild Weber-Harnisch Neues auf Video aufgezeichnet und später","zu","Hause in Nürnberg so lange angeschaut , bis Bernd jede noch so kleine Bewegung auf seinen Zetteln notiert hat ."
"82","1999-04-15","Zeitung","Die Zeit, 15.04.1999, Nr. 16","5 Stunden bleiben die Kinder in der Schule , die restlichen 19 Stunden verbringen sie","zu","Hause oder auf der Straße ."
